ReceiptID,BusinessID,TransactionID,ReceiptNumber,DateIssued,Amount,PaymentMethod,IssuedBy,Description,ReceiptImage
1,1,1,REC001,2024-08-01,15000,Bank Transfer,Mwansa Chileshe,Receipt for August sales,
2,2,2,REC002,2024-08-03,8000,Bank Transfer,Chileshe Mutale,Receipt for consulting services,
3,3,3,REC003,2024-08-06,10000,Cash,Mutale Banda,Receipt for farm produce sale,
4,1,1,REC001,2024-08-01,15000,Bank Transfer,Mwansa Chileshe,Receipt for August sales,
5,2,2,REC002,2024-08-03,8000,Bank Transfer,Chileshe Mutale,Receipt for consulting services,
6,3,3,REC003,2024-08-06,10000,Cash,Mutale Banda,Receipt for farm produce sale,
7,1,1,R001,2024-08-01,15000,Bank Transfer,Mwansa Chileshe,Receipt for sales,
8,2,2,R002,2024-08-03,8000,Bank Transfer,Chileshe Mutale,Receipt for consulting services,
9,3,3,R003,2024-08-06,10000,Cash,Mutale Banda,Receipt for farm produce,
10,1,1,R001,2024-08-01,15000,Bank Transfer,Mwansa Chileshe,Receipt for sales,
11,2,2,R002,2024-08-03,8000,Bank Transfer,Chileshe Mutale,Receipt for consulting services,
12,3,3,R003,2024-08-06,10000,Cash,Mutale Banda,Receipt for farm produce,
13,1,1,R001,2024-08-01,15000,Bank Transfer,Mwansa Chileshe,Receipt for sales,
14,2,2,R002,2024-08-03,8000,Bank Transfer,Chileshe Mutale,Receipt for consulting services,
15,3,3,R003,2024-08-06,10000,Cash,Mutale Banda,Receipt for farm produce,
